league,season,club,possession
Eerste Divisie,25/26,ADO Den Haag,60.47368421052632
Eerste Divisie,25/26,Almere City,48.13157894736842
Eerste Divisie,25/26,Cambuur,57.71052631578947
Eerste Divisie,25/26,De Graafschap,56.026315789473685
Eerste Divisie,25/26,Den Bosch,47.5
Eerste Divisie,25/26,Dordrecht,48.28947368421053
Eerste Divisie,25/26,Eindhoven,43.92105263157895
Eerste Divisie,25/26,Emmen,51.76315789473684
Eerste Divisie,25/26,Helmond Sport,48.8421052631579
Eerste Divisie,25/26,Jong AZ,53.526315789473685
Eerste Divisie,25/26,Jong Ajax,51.71052631578947
Eerste Divisie,25/26,Jong PSV,51.63157894736842
Eerste Divisie,25/26,Jong Utrecht,47.63157894736842
Eerste Divisie,25/26,MVV,43.6578947368421
Eerste Divisie,25/26,RKC Waalwijk,50.55263157894737
Eerste Divisie,25/26,Roda JC,52.10526315789474
Eerste Divisie,25/26,TOP Oss,43.078947368421055
Eerste Divisie,25/26,VVV-Venlo,48.94736842105263
Eerste Divisie,25/26,Vitesse,46.31578947368421
Eerste Divisie,25/26,Willem II,48.18421052631579
Eredivisie,25/26,AZ,53.088235294117645
Eredivisie,25/26,Ajax,55.94117647058823
Eredivisie,25/26,Excelsior,47.64705882352941
Eredivisie,25/26,Feyenoord,53.14705882352941
Eredivisie,25/26,Fortuna Sittard,44.85294117647059
Eredivisie,25/26,Go Ahead Eagles,49.52941176470589
Eredivisie,25/26,Groningen,50.76470588235294
Eredivisie,25/26,Heerenveen,50.85294117647059
Eredivisie,25/26,Heracles,44.70588235294117
Eredivisie,25/26,NAC Breda,48.94117647058823
Eredivisie,25/26,NEC,56.52941176470589
Eredivisie,25/26,PEC Zwolle,44.97058823529412
Eredivisie,25/26,PSV,60.8235294117647
Eredivisie,25/26,Sparta Rotterdam,47.05882352941177
Eredivisie,25/26,Telstar,45.02941176470589
Eredivisie,25/26,Twente,54.14705882352941
Eredivisie,25/26,Utrecht,46.97058823529412
Eredivisie,25/26,Volendam,45.0
